Airport,Start,End,Data,Value,Type
EFET,1606636200,1606639800,Wind,19007,METAR
EFET,1606636200,1606639800,Visibility,9999,METAR
EFET,1606636200,1606639800,Cloudbase,200,METAR
EFHA,1606636200,1606639800,Wind,14003,METAR
EFHA,1606636200,1606639800,Visibility,9999,METAR
EFHA,1606636200,1606639800,Cloudbase,5000,METAR
EFHA,1606636200,1606639800,Cloudbase,3200,METAR
EFHK,1606636200,1606639800,Wind,06009,METAR
EFHK,1606636200,1606639800,Visibility,3000,METAR
EFHK,1606636200,1606639800,Cloudbase,500,METAR
EFIV,1606636200,1606639800,Wind,21014,METAR
EFIV,1606636200,1606639800,Visibility,9999,METAR
EFIV,1606636200,1606639800,Cloudbase,1100,METAR
EFJO,1606636200,1606639800,Wind,12006,METAR
EFJO,1606636200,1606639800,Visibility,9999,METAR
EFJO,1606636200,1606639800,Cloudbase,600,METAR
EFJY,1606636200,1606639800,Wind,14003,METAR
EFJY,1606636200,1606639800,Visibility,9999,METAR
EFJY,1606636200,1606639800,Cloudbase,700,METAR
EFJY,1606636200,1606639800,Cloudbase,2600,METAR
EFKE,1606636200,1606639800,Wind,19011,METAR
EFKE,1606636200,1606639800,Visibility,4200,METAR
EFKE,1606636200,1606639800,Cloudbase,400,METAR
EFKI,1606636200,1606639800,Wind,18006,METAR
EFKI,1606636200,1606639800,Visibility,9999,METAR
EFKI,1606636200,1606639800,Cloudbase,500,METAR
EFKK,1606636200,1606639800,Wind,16011,METAR
EFKK,1606636200,1606639800,Visibility,9999,METAR
EFKK,1606636200,1606639800,Cloudbase,2400,METAR
EFKS,1606636200,1606639800,Wind,24009,METAR
EFKS,1606636200,1606639800,Visibility,9999,METAR
EFKS,1606636200,1606639800,Cloudbase,800,METAR
EFKT,1606636200,1606639800,Wind,20007,METAR
EFKT,1606636200,1606639800,Visibility,9999,METAR
EFKT,1606636200,1606639800,Cloudbase,600,METAR
EFKU,1606636200,1606639800,Wind,16010,METAR
EFKU,1606636200,1606639800,Visibility,9999,METAR
EFKU,1606636200,1606639800,Cloudbase,1000,METAR
EFLP,1606636200,1606639800,Wind,08005,METAR
EFLP,1606636200,1606639800,Visibility,9999,METAR
EFLP,1606636200,1606639800,Cloudbase,700,METAR
EFLP,1606636200,1606639800,FZ,True,METAR
EFMA,1606636200,1606639800,Wind,03003,METAR
EFMA,1606636200,1606639800,Visibility,9999,METAR
EFMA,1606636200,1606639800,Cloudbase,5000,METAR
EFMA,1606636200,1606639800,Cloudbase,2800,METAR
EFMI,1606636200,1606639800,Wind,08005,METAR
EFMI,1606636200,1606639800,Visibility,9999,METAR
EFMI,1606636200,1606639800,Cloudbase,2400,METAR
EFOU,1606636200,1606639800,Wind,16006,METAR
EFOU,1606636200,1606639800,Visibility,9999,METAR
EFOU,1606636200,1606639800,Cloudbase,2400,METAR
EFPO,1606636200,1606639800,Wind,10004,METAR
EFPO,1606636200,1606639800,Visibility,9999,METAR
EFPO,1606636200,1606639800,Cloudbase,3500,METAR
EFRO,1606636200,1606639800,Wind,19011,METAR
EFRO,1606636200,1606639800,Visibility,3500,METAR
EFRO,1606636200,1606639800,Cloudbase,600,METAR
EFSA,1606636200,1606639800,Wind,08006,METAR
EFSA,1606636200,1606639800,Visibility,9999,METAR
EFSA,1606636200,1606639800,Cloudbase,1400,METAR
EFSI,1606636200,1606639800,Wind,14002,METAR
EFSI,1606636200,1606639800,Visibility,9999,METAR
EFSI,1606636200,1606639800,Cloudbase,2000,METAR
EFTP,1606636200,1606639800,Wind,13004,METAR
EFTP,1606636200,1606639800,Visibility,9999,METAR
EFTP,1606636200,1606639800,Cloudbase,800,METAR
EFTU,1606636200,1606639800,Wind,09005,METAR
EFTU,1606636200,1606639800,Visibility,9999,METAR
EFTU,1606636200,1606639800,Cloudbase,800,METAR
EFUT,1606636200,1606639800,Wind,09005,METAR
EFUT,1606636200,1606639800,Visibility,9999,METAR
EFUT,1606636200,1606639800,Cloudbase,1800,METAR
EFVA,1606636200,1606639800,Wind,VRB01,METAR
EFVA,1606636200,1606639800,Visibility,9999,METAR
EFVA,1606636200,1606639800,Cloudbase,2800,METAR
