Airport,Start,End,Data,Value,Type
EFET,1608121200,1608126600,Wind,04014,METAR
EFET,1608121200,1608126600,Visibility,9999,METAR
EFET,1608121200,1608126600,Cloudbase,3100,METAR
EFHA,1608121200,1608126600,Wind,28006,METAR
EFHA,1608121200,1608126600,Visibility,1900,METAR
EFHA,1608121200,1608126600,Cloudbase,100,METAR
EFHK,1608121200,1608126600,Wind,25007,METAR
EFHK,1608121200,1608126600,Visibility,7000,METAR
EFHK,1608121200,1608126600,Cloudbase,700,METAR
EFHK,1608121200,1608126600,Visibility,4500,METAR
EFIV,1608121200,1608126600,Wind,03013,METAR
EFIV,1608121200,1608126600,Visibility,9999,METAR
EFIV,1608121200,1608126600,Cloudbase,1300,METAR
EFJO,1608121200,1608126600,Wind,17007,METAR
EFJO,1608121200,1608126600,Visibility,5000,METAR
EFJO,1608121200,1608126600,Cloudbase,200,METAR
EFJY,1608121200,1608126600,Wind,27005,METAR
EFJY,1608121200,1608126600,Visibility,9999,METAR
EFJY,1608121200,1608126600,Cloudbase,500,METAR
EFKE,1608121200,1608126600,Wind,02011,METAR
EFKE,1608121200,1608126600,Visibility,9999,METAR
EFKE,1608121200,1608126600,Cloudbase,900,METAR
EFKE,1608121200,1608126600,Cloudbase,3900,METAR
EFKI,1608121200,1608126600,Wind,VRB01,METAR
EFKI,1608121200,1608126600,Visibility,5000,METAR
EFKI,1608121200,1608126600,Cloudbase,700,METAR
EFKI,1608121200,1608126600,Cloudbase,2600,METAR
EFKK,1608121200,1608126600,Wind,29004,METAR
EFKK,1608121200,1608126600,Visibility,5000,METAR
EFKK,1608121200,1608126600,Cloudbase,5000,METAR
EFKK,1608121200,1608126600,Cloudbase,1100,METAR
EFKS,1608121200,1608126600,Wind,04005,METAR
EFKS,1608121200,1608126600,Visibility,9999,METAR
EFKS,1608121200,1608126600,Cloudbase,5000,METAR
EFKS,1608121200,1608126600,Cloudbase,3300,METAR
EFKT,1608121200,1608126600,Wind,03011,METAR
EFKT,1608121200,1608126600,Visibility,9999,METAR
EFKT,1608121200,1608126600,Cloudbase,900,METAR
EFKU,1608121200,1608126600,Wind,17003,METAR
EFKU,1608121200,1608126600,Visibility,4800,METAR
EFKU,1608121200,1608126600,FZ,True,METAR
EFKU,1608121200,1608126600,Cloudbase,600,METAR
EFKU,1608121200,1608126600,Cloudbase,2800,METAR
EFMA,1608121200,1608126600,Wind,29009,METAR
EFMA,1608121200,1608126600,Visibility,9999,METAR
EFMA,1608121200,1608126600,Cloudbase,600,METAR
EFOU,1608121200,1608126600,Wind,36004,METAR
EFOU,1608121200,1608126600,Visibility,3000,METAR
EFOU,1608121200,1608126600,Cloudbase,200,METAR
EFPO,1608121200,1608126600,Wind,30010,METAR
EFPO,1608121200,1608126600,Visibility,9999,METAR
EFPO,1608121200,1608126600,Cloudbase,800,METAR
EFRO,1608121200,1608126600,Wind,02010,METAR
EFRO,1608121200,1608126600,Visibility,9999,METAR
EFRO,1608121200,1608126600,Cloudbase,5000,METAR
EFRO,1608121200,1608126600,Cloudbase,4300,METAR
EFSA,1608121200,1608126600,Wind,20009,METAR
EFSA,1608121200,1608126600,Visibility,7000,METAR
EFSA,1608121200,1608126600,Cloudbase,400,METAR
EFSA,1608121200,1608126600,Cloudbase,2300,METAR
EFSI,1608119400,1608124800,Wind,30007,METAR
EFSI,1608119400,1608124800,Visibility,9999,METAR
EFSI,1608119400,1608124800,Cloudbase,5000,METAR
EFSI,1608119400,1608124800,Cloudbase,5000,METAR
EFSI,1608119400,1608124800,Cloudbase,1100,METAR
EFSI,1608119400,1608124800,Cloudbase,1400,METAR
EFTP,1608121200,1608126600,Wind,29009,METAR
EFTP,1608121200,1608126600,Visibility,9999,METAR
EFTP,1608121200,1608126600,Cloudbase,200,METAR
EFTU,1608121200,1608126600,Wind,30008,METAR
EFTU,1608121200,1608126600,Visibility,9999,METAR
EFTU,1608121200,1608126600,Cloudbase,600,METAR
EFUT,1608121200,1608126600,Wind,20006,METAR
EFUT,1608121200,1608126600,Visibility,1300,METAR
EFUT,1608121200,1608126600,RVR,25/1600D,METAR
EFUT,1608121200,1608126600,Cloudbase,200,METAR
